minute,second,duration,play_pattern,position,shot_technique,shot_body_part,shot_type,shot_first_time,shot_open_goal,shot_one_on_one,shot_aerial_won,under_pressure,start_x,start_y,end_x,end_y,shot_outcome,shot_key_pass
47,0,1.028142,1,16.0,93.0,38.0,87.0,0,0,0,0,0,98.6,36.6,120.0,44.3,0.0,0
49,40,0.926027,2,21.0,93.0,40.0,87.0,0,0,0,0,0,101.2,24.1,117.4,38.4,0.0,1
54,11,0.408167,1,17.0,91.0,38.0,87.0,0,0,0,0,0,114.5,26.9,118.4,35.8,0.0,1
56,0,1.727208,2,9.0,91.0,40.0,87.0,0,0,0,0,0,96.1,22.5,120.0,49.1,0.0,0
56,47,0.247125,1,22.0,93.0,38.0,87.0,1,0,0,0,0,97.8,38.8,104.3,38.1,0.0,1
60,31,0.546,1,24.0,93.0,40.0,87.0,0,0,0,0,0,108.9,55.9,120.0,46.0,0.0,1
71,42,1.18006,3,17.0,93.0,38.0,62.0,0,0,0,0,0,89.8,50.0,120.0,37.8,0.0,0
72,47,0.054227,1,23.0,93.0,40.0,87.0,0,0,0,0,1,101.5,22.1,102.8,23.4,0.0,1
79,45,0.572747,4,17.0,93.0,40.0,87.0,0,0,0,0,0,111.0,29.4,120.0,34.7,0.0,1
85,54,1.349492,1,17.0,93.0,40.0,87.0,0,0,0,0,0,98.5,32.0,118.2,38.5,0.0,1
2,0,1.03497,3,21.0,93.0,40.0,87.0,1,0,0,0,1,105.0,35.0,120.0,43.4,1.0,1
3,11,0.391854,9,15.0,93.0,38.0,87.0,0,0,0,0,1,92.2,28.6,102.2,29.9,0.0,1
5,44,0.905211,1,8.0,93.0,38.0,87.0,0,0,0,0,0,99.4,26.3,120.0,44.1,0.0,1
8,54,0.360858,1,17.0,93.0,38.0,87.0,1,0,0,0,1,114.0,29.0,117.0,35.0,0.0,1
10,57,2.026285,3,4.0,93.0,37.0,87.0,0,0,0,1,1,105.1,45.1,120.0,30.4,0.0,1
12,1,0.976663,6,17.0,93.0,38.0,87.0,0,0,0,0,0,101.0,47.7,120.0,36.6,1.0,1
14,36,2.000128,2,24.0,93.0,37.0,87.0,0,0,0,0,0,111.0,53.7,120.0,42.9,0.0,1
23,27,1.421176,1,13.0,93.0,40.0,87.0,0,0,0,0,0,85.0,51.0,120.0,48.8,0.0,1
28,32,1.428585,7,15.0,93.0,37.0,87.0,0,0,0,0,0,108.1,35.6,118.6,37.7,0.0,1
35,55,1.537276,3,21.0,93.0,40.0,87.0,1,0,0,0,0,94.0,32.0,120.0,46.3,0.0,1
37,35,1.533356,6,17.0,93.0,38.0,87.0,0,0,0,0,0,111.0,26.0,120.0,49.7,0.0,1
41,6,0.501944,3,2.0,93.0,40.0,87.0,0,0,0,0,0,111.3,53.5,120.0,45.1,0.0,1
42,35,1.02389,2,3.0,93.0,37.0,87.0,0,0,0,0,0,114.1,33.1,120.0,41.0,0.0,1
44,38,0.749395,1,23.0,93.0,40.0,87.0,1,0,0,0,0,101.0,42.2,117.5,41.6,0.0,1
45,14,0.480081,1,13.0,93.0,38.0,87.0,1,0,0,0,0,113.6,47.9,120.0,44.5,0.0,1
47,5,0.370788,1,13.0,92.0,40.0,87.0,1,0,0,0,0,109.0,51.0,114.2,46.6,0.0,1
51,19,1.001839,1,21.0,93.0,40.0,87.0,0,0,0,0,0,100.1,18.1,118.4,38.3,0.0,1
53,38,1.37116,6,23.0,93.0,40.0,87.0,0,0,0,0,0,90.1,38.1,120.0,36.1,0.0,1
55,58,0.041465,1,18.0,92.0,40.0,87.0,1,0,0,0,0,115.7,50.2,120.0,41.2,0.0,0
57,16,0.3496,1,23.0,93.0,40.0,87.0,0,0,0,0,0,105.1,51.1,107.1,50.1,0.0,1
57,19,1.629178,1,23.0,91.0,40.0,87.0,0,0,1,0,1,111.2,49.3,120.0,20.6,0.0,1
60,20,0.838404,1,22.0,93.0,37.0,87.0,0,0,0,0,0,109.3,39.2,119.3,37.5,0.0,1
60,23,0.114869,1,20.0,91.0,38.0,87.0,1,0,0,0,0,115.0,33.0,118.0,36.0,0.0,0
60,41,0.574885,1,23.0,93.0,40.0,87.0,0,0,0,0,0,109.5,55.1,120.0,42.2,0.0,1
62,21,0.769673,5,23.0,93.0,40.0,88.0,0,0,0,0,0,108.1,40.1,120.0,37.2,1.0,0
65,17,0.033166,1,24.0,93.0,40.0,87.0,1,0,0,0,0,108.0,46.0,110.0,45.0,0.0,0
66,36,1.052199,6,24.0,93.0,40.0,87.0,0,0,0,0,0,108.2,53.2,120.0,32.2,0.0,1
68,5,1.177423,4,13.0,93.0,38.0,87.0,0,0,0,0,0,100.1,33.1,120.0,34.1,0.0,1
71,27,0.159124,4,21.0,93.0,38.0,87.0,0,0,0,0,0,110.1,25.1,110.6,25.9,0.0,1
71,54,1.355106,2,5.0,93.0,37.0,87.0,0,0,0,1,1,112.9,38.0,120.0,47.1,0.0,1
72,39,0.849372,1,23.0,93.0,40.0,87.0,1,0,0,0,0,101.8,38.6,117.8,42.1,0.0,1
73,46,0.110434,4,17.0,91.0,38.0,87.0,0,0,0,0,0,108.1,51.1,109.2,50.0,0.0,1
78,29,0.424195,1,18.0,93.0,38.0,87.0,0,0,0,0,0,97.0,55.1,108.3,47.2,0.0,1
